subject,session,Condition,ACC,RT,stimtype
6,Post,Control,1,536,con
6,Post,Control,,0,null
6,Post,Control,1,582,con
6,Post,Control,1,544,con
6,Post,Control,,0,null
6,Post,Control,1,526,con
6,Post,Control,1,532,neu
6,Post,Control,1,545,neu
6,Post,Control,1,906,inc
6,Post,Control,,0,null
6,Post,Control,1,530,neu
6,Post,Control,,0,null
7,Pre,Control,0,0,neu
7,Pre,Control,0,964,inc
7,Pre,Control,1,707,con
7,Pre,Control,1,1244,inc
7,Pre,Control,1,952,inc
7,Pre,Control,,0,null
7,Pre,Control,1,822,neu
7,Pre,Control,1,732,con
7,Pre,Control,1,794,con
7,Pre,Control,1,1756,neu
7,Pre,Control,1,706,con
7,Pre,Control,0,1099,inc
7,Pre,Control,1,821,neu
7,Pre,Control,,0,null
7,Pre,Control,1,834,con
7,Pre,Control,0,1974,neu
7,Pre,Control,,0,null
7,Pre,Control,0,859,neu
7,Pre,Control,0,1054,inc
7,Pre,Control,1,839,neu
7,Pre,Control,1,795,con
7,Pre,Control,1,622,con
7,Pre,Control,0,1440,inc
7,Pre,Control,1,766,con
7,Pre,Control,,0,null
7,Pre,Control,0,868,neu
7,Pre,Control,,0,null
7,Pre,Control,0,1228,neu
7,Pre,Control,,0,null
7,Pre,Control,0,1333,inc
7,Pre,Control,0,1344,neu
7,Pre,Control,0,1101,inc
7,Pre,Control,1,844,con
7,Pre,Control,1,772,neu
7,Pre,Control,0,876,inc
7,Pre,Control,,0,null
7,Pre,Control,0,1281,inc
7,Pre,Control,0,649,inc
7,Pre,Control,0,1013,inc
7,Pre,Control,,0,null
7,Pre,Control,0,1463,inc
7,Pre,Control,1,897,inc
7,Pre,Control,1,1661,con
7,Pre,Control,,0,null
7,Pre,Control,1,946,neu
7,Pre,Control,,0,null
7,Pre,Control,1,901,con
7,Pre,Control,,0,null
7,Pre,Control,0,1037,inc
7,Pre,Control,,0,null
7,Pre,Control,0,862,neu
7,Pre,Control,0,0,neu
7,Pre,Control,1,1259,neu
7,Pre,Control,1,786,neu
7,Pre,Control,1,1199,neu
7,Pre,Control,0,0,inc
7,Pre,Control,0,178,inc
7,Pre,Control,0,1172,inc
7,Pre,Control,1,1480,inc
7,Pre,Control,1,829,neu
7,Pre,Control,1,865,con
7,Pre,Control,1,725,neu
7,Pre,Control,1,752,con
7,Pre,Control,,0,null
7,Pre,Control,0,766,inc
7,Pre,Control,1,833,con
7,Pre,Control,,0,null
7,Pre,Control,1,864,neu
7,Pre,Control,1,893,neu
7,Pre,Control,,0,null
7,Pre,Control,1,902,con
7,Pre,Control,1,712,con
7,Pre,Control,0,806,inc
7,Pre,Control,,0,null
7,Pre,Control,0,588,inc
7,Pre,Control,1,627,con
7,Pre,Control,,0,null
7,Pre,Control,0,793,inc
7,Pre,Control,,0,null
7,Pre,Control,1,811,con
7,Pre,Control,1,888,con
7,Pre,Control,1,637,con
7,Pre,Control,1,755,neu
7,Pre,Control,,0,null
7,Pre,Control,0,820,inc
7,Pre,Control,1,950,neu
7,Pre,Control,1,682,neu
7,Pre,Control,0,855,inc
7,Pre,Control,1,730,neu
7,Pre,Control,1,1345,inc
7,Pre,Control,,0,null
7,Pre,Control,1,474,con
7,Pre,Control,1,735,con
7,Pre,Control,,0,null
7,Pre,Control,1,766,neu
7,Pre,Control,0,927,inc
7,Pre,Control,1,648,neu
7,Pre,Control,,0,null
7,Pre,Control,0,1004,inc
7,Pre,Control,,0,null
7,Pre,Control,1,931,neu
7,Pre,Control,,0,null
7,Pre,Control,1,656,con
7,Pre,Control,0,759,inc
7,Pre,Control,1,589,neu
7,Pre,Control,1,665,con
7,Pre,Control,,0,null
7,Pre,Control,0,609,inc
7,Pre,Control,1,654,con
7,Pre,Control,,0,null
7,Pre,Control,1,568,con
7,Pre,Control,,0,null
7,Pre,Control,0,477,neu
7,Pre,Control,,0,null
7,Pre,Control,0,771,inc
7,Pre,Control,,0,null
7,Pre,Control,1,810,con
7,Pre,Control,,0,null
7,Pre,Control,0,1445,inc
7,Pre,Control,1,609,con
7,Pre,Control,1,1629,neu
7,Pre,Control,0,921,inc
7,Pre,Control,1,787,neu
7,Pre,Control,0,809,inc
7,Pre,Control,,0,null
7,Pre,Control,1,844,con
7,Pre,Control,1,764,con
7,Pre,Control,1,628,con
7,Pre,Control,1,1108,neu
7,Pre,Control,1,1011,con
7,Pre,Control,,0,null
7,Pre,Control,0,1611,inc
7,Pre,Control,1,853,con
7,Pre,Control,0,637,inc
7,Pre,Control,1,782,con
7,Pre,Control,,0,null
7,Pre,Control,1,1762,inc
7,Pre,Control,1,817,neu
7,Pre,Control,,0,null
7,Pre,Control,0,0,neu
