subject,session,group,stimtype,letter_ACC,letter_RT,probe_ACC,probe_RT
5,2,Experimental,-1,1,1509,1,978
5,2,Experimental,-1,1,1556,1,1088
5,2,Experimental,-1,1,1618,1,988
5,2,Experimental,-1,1,1516,1,1018
5,2,Experimental,2,1,1400,0,858
5,2,Experimental,2,1,1461,0,1045
5,2,Experimental,-1,1,1358,1,913
5,2,Experimental,4,1,1006,1,908
5,2,Experimental,2,1,1521,0,894
5,2,Experimental,2,1,950,1,999
5,2,Experimental,-1,1,1407,1,912
5,2,Experimental,-1,1,1221,1,859
5,2,Experimental,-1,1,1005,1,827
5,2,Experimental,-1,1,1062,1,818
5,2,Experimental,-1,1,1300,1,841
5,2,Experimental,2,1,1133,0,823
5,2,Experimental,-1,1,1426,1,659
5,2,Experimental,4,0,3012,0,1504
5,2,Experimental,2,1,1200,0,727
5,2,Experimental,8,1,990,1,1292
5,2,Experimental,-1,1,1431,1,888
5,2,Experimental,-1,1,1453,1,860
5,2,Experimental,8,1,1606,1,864
5,2,Experimental,8,1,1275,1,705
5,2,Experimental,4,1,1545,1,1493
5,2,Experimental,-1,1,1775,1,868
5,2,Experimental,-1,1,1920,1,960
5,2,Experimental,-1,1,1369,1,1099
5,2,Experimental,-1,1,1391,1,961
5,2,Experimental,8,1,1216,1,872
5,2,Experimental,4,1,1205,1,1229
5,2,Experimental,-1,1,1387,1,877
5,2,Experimental,4,1,1058,1,894
5,2,Experimental,6,1,1105,1,748
5,2,Experimental,4,1,1220,1,1147
5,2,Experimental,-1,1,1451,1,763
5,2,Experimental,8,1,1178,1,867
5,2,Experimental,6,1,1161,1,818
5,2,Experimental,-1,1,883,0,565
5,2,Experimental,-1,1,1459,1,818
5,2,Experimental,6,1,1054,1,876
5,2,Experimental,-1,1,1726,1,1285
5,2,Experimental,6,1,1147,1,916
5,2,Experimental,-1,1,1456,1,944
5,2,Experimental,4,1,911,1,1169
5,2,Experimental,8,1,1156,1,957
5,2,Experimental,6,1,1112,1,786
5,2,Experimental,-1,1,1107,1,926
5,2,Experimental,-1,1,1190,1,798
5,2,Experimental,4,1,1104,1,715
5,2,Experimental,-1,1,1284,1,761
5,2,Experimental,2,1,1282,0,984
5,2,Experimental,-1,1,1160,1,881
5,2,Experimental,4,1,901,1,694
5,2,Experimental,-1,1,1947,1,1290
5,2,Experimental,6,1,1096,1,660
5,2,Experimental,2,1,1163,0,708
5,2,Experimental,-1,1,1271,1,940
5,2,Experimental,8,1,1158,0,927
5,2,Experimental,-1,1,1161,1,802
5,2,Experimental,-1,1,1179,1,867
5,2,Experimental,-1,1,1368,1,874
5,2,Experimental,2,1,1149,0,791
5,2,Experimental,8,1,1116,1,503
5,2,Experimental,8,1,1002,1,648
5,2,Experimental,-1,1,1758,1,1155
5,2,Experimental,-1,1,1023,1,621
5,2,Experimental,4,1,1264,1,773
5,2,Experimental,-1,1,1099,1,646
5,2,Experimental,6,1,982,1,773
5,2,Experimental,-1,1,1203,1,779
5,2,Experimental,6,1,876,1,703
5,2,Experimental,-1,1,1260,1,737
5,2,Experimental,-1,1,1171,1,763
5,2,Experimental,-1,1,1302,1,954
5,2,Experimental,-1,1,1181,1,1446
5,2,Experimental,2,1,1231,0,1174
5,2,Experimental,4,1,726,1,925
5,2,Experimental,4,1,851,1,1079
5,2,Experimental,-1,1,1161,1,866
5,2,Experimental,8,1,1293,0,914
5,2,Experimental,2,1,1054,0,795
5,2,Experimental,-1,1,1048,1,629
5,2,Experimental,6,1,1065,1,1590
5,2,Experimental,8,1,1161,1,1043
5,2,Experimental,2,1,1219,0,618
5,2,Experimental,-1,1,1176,1,913
5,2,Experimental,-1,1,1220,1,811
5,2,Experimental,6,1,1784,0,1245
5,2,Experimental,-1,1,1138,1,812
5,2,Experimental,-1,1,1689,1,641
5,2,Experimental,-1,1,1191,1,1135
5,2,Experimental,-1,1,1120,1,907
5,2,Experimental,4,1,1161,1,1138
5,2,Experimental,-1,1,1137,1,923
5,2,Experimental,-1,1,1123,1,1181
5,2,Experimental,-1,1,1142,1,1120
5,2,Experimental,-1,1,1163,1,869
5,2,Experimental,8,1,1628,1,886
5,2,Experimental,-1,1,1050,1,727
5,2,Experimental,2,1,1166,0,743
5,2,Experimental,8,1,1081,0,885
5,2,Experimental,2,1,1482,0,1273
5,2,Experimental,-1,1,1156,1,862
5,2,Experimental,-1,1,1029,1,691
5,2,Experimental,-1,1,1238,1,1180
5,2,Experimental,-1,1,1361,1,931
5,2,Experimental,4,1,1196,0,899
5,2,Experimental,-1,1,1151,1,713
5,2,Experimental,2,1,1221,0,796
5,2,Experimental,8,1,1852,1,782
5,2,Experimental,8,1,1128,1,834
5,2,Experimental,-1,1,1142,1,912
5,2,Experimental,-1,1,1140,1,1341
5,2,Experimental,-1,1,1558,1,1587
5,2,Experimental,-1,1,1645,1,742
5,2,Experimental,4,1,873,1,939
5,2,Experimental,6,1,991,1,845
5,2,Experimental,-1,1,1047,1,660
5,2,Experimental,-1,1,1076,1,767
5,2,Experimental,2,1,1012,0,611
5,2,Experimental,-1,1,1098,1,534
5,2,Experimental,-1,1,1048,1,629
5,2,Experimental,6,1,909,1,622
5,2,Experimental,2,1,896,0,530
5,2,Experimental,4,1,1093,1,784
5,2,Experimental,4,1,1096,1,867
5,2,Experimental,-1,1,1079,1,755
5,2,Experimental,-1,1,1506,1,688
5,2,Experimental,2,1,959,1,879
5,2,Experimental,6,1,901,1,647
5,2,Experimental,6,1,3655,0,1037
5,2,Experimental,6,1,888,1,874
5,2,Experimental,8,1,1315,0,776
5,2,Experimental,-1,1,1171,1,764
5,2,Experimental,-1,1,1328,1,1364
5,2,Experimental,-1,1,978,1,801
5,2,Experimental,6,1,817,1,741
5,2,Experimental,4,1,1236,1,714
5,2,Experimental,8,1,1137,1,699
6,1,Control,,,,,
6,1,Control,,,,,
6,1,Control,,,,,
6,1,Control,,,,,
6,1,Control,,,,,
6,1,Control,,,,,
6,1,Control,,,,,
6,1,Control,,,,,
6,1,Control,,,,,
6,1,Control,,,,,
6,1,Control,,,,,
6,1,Control,,,,,
6,1,Control,,,,,
6,1,Control,,,,,
6,1,Control,,,,,
6,1,Control,,,,,
6,1,Control,,,,,
6,1,Control,,,,,
6,1,Control,,,,,
6,1,Control,,,,,
6,1,Control,,,,,
6,1,Control,,,,,
6,1,Control,,,,,
6,1,Control,,,,,
6,1,Control,,,,,
6,1,Control,,,,,
6,1,Control,,,,,
6,1,Control,,,,,
6,1,Control,,,,,
6,1,Control,,,,,
6,1,Control,,,,,
6,1,Control,,,,,
6,1,Control,,,,,
6,1,Control,,,,,
6,1,Control,,,,,
6,1,Control,,,,,
6,1,Control,,,,,
6,1,Control,,,,,
6,1,Control,,,,,
6,1,Control,,,,,
6,1,Control,-1,1,2617,1,642
6,1,Control,-1,1,3580,1,502
6,1,Control,8,1,2485,1,1987
6,1,Control,-1,1,2467,1,849
6,1,Control,-1,1,1793,1,293
6,1,Control,2,1,1419,1,603
6,1,Control,4,1,2309,0,777
6,1,Control,-1,1,4126,1,485
6,1,Control,-1,1,1901,1,782
6,1,Control,-1,1,1876,1,518
6,1,Control,4,1,1573,1,416
6,1,Control,-1,1,1564,1,360
6,1,Control,6,1,1387,1,508
6,1,Control,6,1,1443,1,355
6,1,Control,-1,1,1289,1,446
6,1,Control,6,1,1247,1,517
6,1,Control,-1,1,1522,1,319
6,1,Control,2,1,1173,1,542
6,1,Control,-1,1,1694,0,358
6,1,Control,2,1,1840,0,499
6,1,Control,-1,1,1328,1,452
6,1,Control,6,1,2291,1,423
6,1,Control,8,1,1342,1,1042
6,1,Control,-1,1,1517,1,410
6,1,Control,-1,1,1228,1,387
6,1,Control,-1,1,2172,1,804
6,1,Control,8,1,1360,1,674
6,1,Control,8,1,1213,1,357
6,1,Control,-1,1,1802,1,270
6,1,Control,-1,1,6004,1,622
6,1,Control,-1,1,1298,1,327
6,1,Control,8,1,1181,1,502
6,1,Control,2,1,1628,0,534
6,1,Control,4,1,1053,1,522
6,1,Control,2,1,2666,1,370
6,1,Control,8,1,1637,1,926
6,1,Control,2,1,1484,0,298
6,1,Control,-1,1,1574,1,305
6,1,Control,-1,1,2346,0,524
6,1,Control,-1,1,2576,1,506
6,1,Control,-1,1,1526,0,483
6,1,Control,4,1,1312,1,356
6,1,Control,-1,1,1174,1,286
6,1,Control,6,1,1230,1,517
6,1,Control,-1,1,1478,1,613
6,1,Control,6,1,4661,0,347
6,1,Control,4,1,1271,1,589
6,1,Control,4,1,1278,0,291
6,1,Control,-1,1,2231,1,349
6,1,Control,4,1,1137,0,283
6,1,Control,-1,1,1306,1,254
6,1,Control,8,1,1112,1,355
6,1,Control,6,1,1143,1,385
6,1,Control,8,1,1177,1,288
6,1,Control,-1,1,1467,1,506
6,1,Control,6,1,994,1,369
6,1,Control,6,1,1052,1,393
6,1,Control,-1,1,1198,1,310
6,1,Control,-1,1,1399,1,489
6,1,Control,-1,1,1161,1,306
6,1,Control,4,1,1195,0,371
6,1,Control,-1,1,1279,1,517
6,1,Control,6,1,1209,1,369
6,1,Control,-1,1,1347,1,374
