subject,session,group,stimtype,ACC,RT
10,1,Experimental,four_nm,0,1251
10,1,Experimental,four_nm,1,1575
10,1,Experimental,four_nm,1,1198
10,1,Experimental,four_m,1,1716
10,1,Experimental,four_m,0,1845
10,1,Experimental,four_m,1,1377
10,1,Experimental,four_m,1,880
10,1,Experimental,four_m,1,1106
10,1,Experimental,four_m,1,1068
10,1,Experimental,four_nm,1,1639
10,1,Experimental,four_m,1,1403
10,1,Experimental,four_m,1,1321
10,1,Experimental,four_nm,1,1130
10,1,Experimental,four_nm,1,851
10,1,Experimental,four_nm,1,1079
10,1,Experimental,four_nm,1,881
10,1,Experimental,four_m,1,1428
10,1,Experimental,four_m,1,1649
10,1,Experimental,four_nm,0,1381
10,1,Experimental,four_nm,1,1652
10,1,Experimental,four_nm,1,1127
10,1,Experimental,four_nm,1,1408
10,1,Experimental,four_nm,0,1566
10,1,Experimental,four_m,1,1300
10,1,Experimental,four_nm,1,1766
10,1,Experimental,four_m,1,1414
10,1,Experimental,four_m,1,1395
10,1,Experimental,four_m,1,1345
10,1,Experimental,four_nm,1,1458
10,1,Experimental,four_nm,1,1309
10,1,Experimental,four_nm,1,895
10,1,Experimental,four_m,1,1185
10,2,Experimental,,,
10,2,Experimental,,,
10,2,Experimental,,,
10,2,Experimental,,,
10,2,Experimental,,,
10,2,Experimental,,,
10,2,Experimental,,,
10,2,Experimental,,,
10,2,Experimental,four_m,1,1052
10,2,Experimental,four_m,1,952
10,2,Experimental,four_nm,1,1014
10,2,Experimental,four_nm,0,836
10,2,Experimental,four_m,1,1081
10,2,Experimental,four_nm,1,644
10,2,Experimental,four_m,1,1040
10,2,Experimental,four_m,1,1053
10,2,Experimental,four_nm,1,679
10,2,Experimental,four_nm,1,786
10,2,Experimental,four_m,1,1001
10,2,Experimental,four_m,1,967
10,2,Experimental,four_m,1,1031
10,2,Experimental,four_m,1,867
10,2,Experimental,four_nm,1,871
10,2,Experimental,four_m,1,1146
10,2,Experimental,four_nm,1,610
10,2,Experimental,four_m,1,864
10,2,Experimental,four_nm,1,1220
10,2,Experimental,four_nm,1,1400
10,2,Experimental,four_m,1,966
10,2,Experimental,four_m,1,1334
10,2,Experimental,four_m,1,999
